,,,,,,,
Algorithm,InputType,ArraySize,IsSorted,SortType,IndexAccessCount,CompareCount,SwapCount
CocktailShakerSort,NegativeRandom,10000,TRUE,Exchange,33194918,33194918,24902687
CocktailShakerSort2,NegativeRandom,10000,TRUE,Exchange,37397310,37397310,24902687
CombSort,NegativeRandom,10000,TRUE,Exchange,306727,306727,58759
CycleSort,NegativeRandom,10000,TRUE,Exchange,149880288,149885389,9999
GnomeSort,NegativeRandom,10000,TRUE,Exchange,24912687,24902687,24902687
GnomeSort1,NegativeRandom,10000,TRUE,Exchange,49815364,49815364,24902687
GnomeSort2,NegativeRandom,10000,TRUE,Exchange,24902688,24912677,24902687
GnomeSort3,NegativeRandom,10000,TRUE,Exchange,49815374,49815374,24902687
SelectionSort,NegativeRandom,10000,TRUE,Selection,49995000,49995000,10000
HeapSort,NegativeRandom,10000,TRUE,Selection,139559,239358,129568
InsertSort,NegativeRandom,10000,TRUE,Insertion,24902687,24902687,24902687
BinaryInsertSort,NegativeRandom,10000,TRUE,Insertion,25041717,119032,24912686
ShellSort,NegativeRandom,10000,TRUE,Insertion,157531,75084,157531
BinaryTreeSort,NegativeRandom,10000,TRUE,Insertion,10000,157546,0
QuickSortMedian3,NegativeRandom,10000,TRUE,Partition,108499,138485,35637
QuickSortMedian9,NegativeRandom,10000,TRUE,Partition,70256,160034,37721
QuickDualPivotSort,NegativeRandom,10000,TRUE,Partition,90883,121942,66198
QuickSortMedian3Insert,NegativeRandom,10000,TRUE,Partition,93006,95362,23495
QuickSortMedian9Insert,NegativeRandom,10000,TRUE,Partition,58083,66977,24312
QuickDualPivotSortInsert,NegativeRandom,10000,TRUE,Partition,80713,105797,52771
QuickSortMedian3BinaryInsert,NegativeRandom,10000,TRUE,Partition,93111,95446,23502
QuickSortMedian9BinaryInsert,NegativeRandom,10000,TRUE,Partition,58294,67146,24326
QuickDualPivotSortBinaryInsert,NegativeRandom,10000,TRUE,Partition,80713,105797,52771
MergeSort,NegativeRandom,10000,TRUE,Merge,86652,120446,128091
MergeSort2,NegativeRandom,10000,TRUE,Merge,143615,120456,133616
ShiftSort,NegativeRandom,10000,TRUE,Merge,207366,152913,1674
BucketSort,NegativeRandom,10000,TRUE,Distributed,20000,10000,0
RadixLSD10Sort,NegativeRandom,10000,TRUE,Distributed,110158,0,0
RadixLSD4Sort,NegativeRandom,10000,TRUE,Distributed,82774,40000,0
CountingSort,NegativeRandom,10000,TRUE,Distributed,60010,0,0
IntroSortMedian9,NegativeRandom,10000,TRUE,Hybrid,59767,68571,24194
BubbleSort,Reversed,100,TRUE,Exchange,4950,4950,4950
OddEvenSort,Reversed,100,TRUE,Exchange,5049,5049,4950
CocktailShakerSort,Reversed,100,TRUE,Exchange,4950,4950,4950
CocktailShakerSort2,Reversed,100,TRUE,Exchange,4950,4950,4950
CombSort,Reversed,100,TRUE,Exchange,1195,1195,116
CycleSort,Reversed,100,TRUE,Exchange,8774,8725,100
GnomeSort,Reversed,100,TRUE,Exchange,5050,4950,4950
GnomeSort1,Reversed,100,TRUE,Exchange,9900,9900,4950
GnomeSort2,Reversed,100,TRUE,Exchange,4851,4950,4950
GnomeSort3,Reversed,100,TRUE,Exchange,10000,10000,4950
SelectionSort,Reversed,100,TRUE,Selection,4950,4950,100
HeapSort,Reversed,100,TRUE,Selection,614,955,516
InsertSort,Reversed,100,TRUE,Insertion,4950,4950,4950
BinaryInsertSort,Reversed,100,TRUE,Insertion,5721,573,5049
ShellSort,Reversed,100,TRUE,Insertion,474,282,474
BinaryTreeSort,Reversed,100,TRUE,Insertion,100,4950,0
QuickSortMedian3,Reversed,100,TRUE,Partition,1705,1995,148
QuickSortMedian9,Reversed,100,TRUE,Partition,474,1266,148
QuickDualPivotSort,Reversed,100,TRUE,Partition,2450,2500,150
QuickSortMedian3Insert,Reversed,100,TRUE,Partition,1404,1508,95
QuickSortMedian9Insert,Reversed,100,TRUE,Partition,201,261,56
QuickDualPivotSortInsert,Reversed,100,TRUE,Partition,2394,2436,126
QuickSortMedian3BinaryInsert,Reversed,100,TRUE,Partition,1524,1583,110
QuickSortMedian9BinaryInsert,Reversed,100,TRUE,Partition,289,316,67
QuickDualPivotSortBinaryInsert,Reversed,100,TRUE,Partition,2394,2436,126
MergeSort,Reversed,100,TRUE,Merge,811,316,672
MergeSort2,Reversed,100,TRUE,Merge,771,356,672
ShiftSort,Reversed,100,TRUE,Merge,1114,820,49
BucketSort,Reversed,100,TRUE,Distributed,200,100,0
RadixLSD10Sort,Reversed,100,TRUE,Distributed,420,200,0
RadixLSD4Sort,Reversed,100,TRUE,Distributed,2745,0,0
CountingSort,Reversed,100,TRUE,Distributed,398,0,0
IntroSortMedian9,Reversed,100,TRUE,Hybrid,211,266,61
BubbleSort,Reversed,1000,TRUE,Exchange,499500,499500,499500
OddEvenSort,Reversed,1000,TRUE,Exchange,500499,500499,499500
CocktailShakerSort,Reversed,1000,TRUE,Exchange,499500,499500,499500
CocktailShakerSort2,Reversed,1000,TRUE,Exchange,499500,499500,499500
CombSort,Reversed,1000,TRUE,Exchange,20705,20705,1536
CycleSort,Reversed,1000,TRUE,Exchange,875249,874750,1000
GnomeSort,Reversed,1000,TRUE,Exchange,500500,499500,499500
GnomeSort1,Reversed,1000,TRUE,Exchange,999000,999000,499500
GnomeSort2,Reversed,1000,TRUE,Exchange,498501,499500,499500
GnomeSort3,Reversed,1000,TRUE,Exchange,1000000,1000000,499500
SelectionSort,Reversed,1000,TRUE,Selection,499500,499500,1000
HeapSort,Reversed,1000,TRUE,Selection,9314,15981,8316
InsertSort,Reversed,1000,TRUE,Insertion,499500,499500,499500
BinaryInsertSort,Reversed,1000,TRUE,Insertion,510475,8977,500499
ShellSort,Reversed,1000,TRUE,Insertion,5990,4821,5990
BinaryTreeSort,Reversed,1000,TRUE,Insertion,1000,499500,0
QuickSortMedian3,Reversed,1000,TRUE,Partition,167127,170114,1498
QuickSortMedian9,Reversed,1000,TRUE,Partition,7978,15970,1498
QuickDualPivotSort,Reversed,1000,TRUE,Partition,249500,250000,1500
QuickSortMedian3Insert,Reversed,1000,TRUE,Partition,167240,169037,1393
QuickSortMedian9Insert,Reversed,1000,TRUE,Partition,5001,5456,562
QuickDualPivotSortInsert,Reversed,1000,TRUE,Partition,249444,249936,1476
QuickSortMedian3BinaryInsert,Reversed,1000,TRUE,Partition,167405,169157,1408
QuickSortMedian9BinaryInsert,Reversed,1000,TRUE,Partition,5155,5568,576
QuickDualPivotSortBinaryInsert,Reversed,1000,TRUE,Partition,249444,249936,1476
MergeSort,Reversed,1000,TRUE,Merge,11087,4932,9976
MergeSort2,Reversed,1000,TRUE,Merge,10975,5044,9976
ShiftSort,Reversed,1000,TRUE,Merge,17484,13022,499
BucketSort,Reversed,1000,TRUE,Distributed,2000,1000,0
RadixLSD10Sort,Reversed,1000,TRUE,Distributed,6030,3000,0
RadixLSD4Sort,Reversed,1000,TRUE,Distributed,9786,0,0
CountingSort,Reversed,1000,TRUE,Distributed,3998,0,0
IntroSortMedian9,Reversed,1000,TRUE,Hybrid,5011,5514,514
BubbleSort,Reversed,10000,TRUE,Exchange,49995000,49995000,49995000
OddEvenSort,Reversed,10000,TRUE,Exchange,50004999,50004999,49995000
CocktailShakerSort,Reversed,10000,TRUE,Exchange,49995000,49995000,49995000
CocktailShakerSort2,Reversed,10000,TRUE,Exchange,49995000,49995000,49995000
CombSort,Reversed,10000,TRUE,Exchange,296728,296728,20094
CycleSort,Reversed,10000,TRUE,Exchange,87502499,87497500,10000
GnomeSort,Reversed,10000,TRUE,Exchange,50005000,49995000,49995000
GnomeSort1,Reversed,10000,TRUE,Exchange,99990000,99990000,49995000
GnomeSort2,Reversed,10000,TRUE,Exchange,49985001,49995000,49995000
GnomeSort3,Reversed,10000,TRUE,Exchange,100000000,100000000,49995000
SelectionSort,Reversed,10000,TRUE,Selection,49995000,49995000,10000
HeapSort,Reversed,10000,TRUE,Selection,126694,226719,116696
InsertSort,Reversed,10000,TRUE,Insertion,49995000,49995000,49995000
BinaryInsertSort,Reversed,10000,TRUE,Insertion,50138615,123617,50004999
ShellSort,Reversed,10000,TRUE,Insertion,55972,75084,55972
BinaryTreeSort,Reversed,10000,TRUE,Insertion,10000,49995000,0
QuickSortMedian3,Reversed,10000,TRUE,Partition,16671462,16701445,14998
QuickSortMedian9,Reversed,10000,TRUE,Partition,113618,193610,14998
QuickDualPivotSort,Reversed,10000,TRUE,Partition,24995000,25000000,15000
QuickSortMedian3Insert,Reversed,10000,TRUE,Partition,16680156,16699853,14845
QuickSortMedian9Insert,Reversed,10000,TRUE,Partition,90001,97170,6022
QuickDualPivotSortInsert,Reversed,10000,TRUE,Partition,24994944,24999936,14976
